,open,close,high,low,volume,money
2006-04-24,1156.91,1142.7,1160.58,1135.75,4593621900.0,26245896335.0
2006-04-25,1139.49,1141.93,1149.54,1123.1,3861112500.0,22885232669.0
2006-04-26,1142.9,1155.73,1162.02,1142.07,4182430100.0,25476171649.0
2006-04-27,1157.38,1155.27,1159.9,1145.26,3198045100.0,18862520936.0
2006-04-28,1143.59,1172.35,1173.88,1133.19,4080185800.0,24343009251.0
2006-05-08,1179.58,1218.44,1218.86,1179.58,4491282100.0,26536314891.0
2006-05-09,1226.32,1251.61,1252.76,1222.68,5599386100.0,33111916341.0
2006-05-10,1257.98,1265.93,1273.68,1243.47,5566704300.0,33568258225.0
2006-05-11,1267.22,1255.04,1294.87,1254.35,6113372500.0,37299607468.0
2006-05-12,1255.23,1296.26,1296.38,1252.68,5492033100.0,34261843942.0
2006-05-15,1312.14,1352.15,1352.41,1301.8,7353400500.0,45768188032.0
2006-05-16,1368.13,1331.13,1387.4,1322.14,7965817000.0,50916396723.0
2006-05-17,1331.69,1335.52,1356.13,1306.87,6182328700.0,39133826398.0
2006-05-18,1322.65,1331.2,1340.52,1301.11,5205636300.0,31832852065.0
2006-05-19,1334.07,1366.1,1371.22,1329.32,6712386900.0,36222359895.0
2006-05-22,1366.32,1373.67,1387.57,1360.35,6626217200.0,38198875541.0
2006-05-23,1365.1,1317.65,1365.1,1316.55,5687238800.0,32747751170.0
2006-05-24,1325.68,1308.24,1351.31,1277.33,5117663200.0,31096815588.0
2006-05-25,1304.69,1307.7,1316.47,1285.73,3404643600.0,20482556624.0
2006-05-26,1312.24,1331.02,1331.45,1309.46,3638566500.0,21741991960.0
2006-05-29,1339.9,1366.29,1366.84,1330.63,4448001100.0,27100627303.0
2006-05-30,1375.3,1378.76,1384.68,1360.55,4476102700.0,28992430923.0
2006-05-31,1377.45,1365.45,1386.94,1355.01,4733588300.0,29359692213.0
2006-06-01,1364.18,1402.88,1403.27,1362.94,5349345300.0,31383492665.0
2006-06-02,1406.62,1390.12,1411.78,1382.0,6410916200.0,37407323630.0
2006-06-05,1391.46,1403.16,1403.3,1362.72,5510181900.0,29784741526.0
2006-06-06,1400.27,1399.14,1413.11,1391.89,4683527800.0,26497855270.0
2006-06-07,1398.18,1320.23,1398.18,1319.7,5204764700.0,31076290204.0
2006-06-08,1309.07,1325.98,1331.88,1286.9,4567750900.0,26462585864.0
2006-06-09,1320.81,1294.18,1329.84,1293.05,3739262300.0,21631040581.0
2006-06-12,1283.83,1297.67,1308.12,1275.4,2503333100.0,15025360038.0
2006-06-13,1296.41,1298.28,1312.13,1284.62,2782303100.0,16716170449.0
2006-06-14,1291.69,1283.88,1291.69,1269.52,2880166100.0,15982326444.0
2006-06-15,1283.72,1285.38,1300.11,1280.5,2324130200.0,12947893429.0
2006-06-16,1290.0,1318.01,1318.02,1290.0,2840803200.0,16152374694.0
2006-06-19,1306.26,1334.89,1341.99,1294.9,3072625800.0,18672646769.0
2006-06-20,1333.62,1338.22,1341.24,1323.78,2779705800.0,16416714736.0
2006-06-21,1336.84,1333.53,1347.0,1320.41,3244547900.0,18271592334.0
2006-06-22,1331.93,1331.55,1341.73,1326.15,2595315700.0,14642393269.0
2006-06-23,1329.11,1339.45,1340.27,1319.51,2565164400.0,15125536432.0
2006-06-26,1341.61,1363.41,1363.57,1341.61,2959592000.0,18564767865.0
2006-06-27,1365.04,1363.9,1368.41,1354.09,2645473400.0,16022196955.0
2006-06-28,1361.79,1362.88,1366.34,1353.63,2579165700.0,14836163873.0
2006-06-29,1365.25,1395.12,1395.24,1365.25,4243920100.0,24225652463.0
2006-06-30,1402.6,1393.96,1408.79,1384.99,3839674500.0,22942443838.0
2006-07-03,1398.74,1420.33,1420.33,1393.92,3829738500.0,24423131531.0
2006-07-04,1423.08,1411.01,1426.1,1401.15,4274980300.0,28116073765.0
2006-07-05,1409.9,1393.01,1409.9,1377.22,3344600500.0,21154127198.0
2006-07-06,1391.64,1418.67,1418.76,1390.19,3248073400.0,21637516912.0
2006-07-07,1423.72,1410.43,1426.4,1405.99,3355617600.0,22529571028.0
2006-07-10,1410.5,1412.12,1413.58,1397.44,2760736900.0,18616784852.0
2006-07-11,1414.14,1418.58,1418.82,1406.5,2853737900.0,18958953195.0
2006-07-12,1419.07,1419.2,1430.94,1416.74,3629341700.0,24831173387.0
2006-07-13,1415.88,1346.09,1418.13,1344.15,4897067300.0,31700087656.0
2006-07-14,1333.74,1357.13,1367.74,1327.59,3265910500.0,21065092098.0
2006-07-17,1354.14,1372.25,1372.25,1348.43,2420555200.0,16046823874.0
2006-07-18,1370.9,1373.42,1373.59,1359.91,2272454400.0,14797115329.0
2006-07-19,1370.29,1336.64,1370.29,1330.28,2522764700.0,15923621350.0
2006-07-20,1335.41,1345.19,1346.85,1329.18,1845062100.0,11505538297.0
2006-07-21,1344.6,1356.03,1357.34,1344.57,2039364800.0,12442432415.0
2006-07-24,1340.28,1358.12,1359.56,1327.9,1996619000.0,12517728783.0
2006-07-25,1359.32,1374.17,1378.84,1359.32,2202350900.0,14089738586.0
2006-07-26,1377.78,1371.3,1380.8,1367.05,1963344200.0,12059952444.0
2006-07-27,1370.75,1355.55,1379.25,1347.29,2381875500.0,14751696304.0
2006-07-28,1354.92,1341.39,1359.74,1327.66,2155750500.0,13809393177.0
2006-07-31,1338.04,1294.33,1338.04,1293.53,2218121100.0,13115400910.0
2006-08-01,1292.71,1282.06,1302.89,1278.54,1744388700.0,10137959452.0
2006-08-02,1281.89,1275.09,1288.61,1258.01,1781328400.0,10180840409.0
2006-08-03,1277.63,1271.74,1281.79,1261.69,1294047300.0,8115991949.0
2006-08-04,1272.36,1241.91,1278.25,1239.38,1605362800.0,9762333439.0
2006-08-07,1233.49,1224.1,1241.85,1221.99,1511651900.0,8515702534.0
2006-08-08,1225.04,1252.39,1252.39,1225.04,1425048100.0,8387431317.0
2006-08-09,1254.37,1251.3,1258.21,1245.39,1285947400.0,7485120544.0
2006-08-10,1251.16,1271.47,1271.47,1251.08,1769900600.0,10020038303.0
2006-08-11,1273.27,1275.65,1277.97,1265.52,1530322700.0,9033367272.0
2006-08-14,1275.14,1245.72,1279.31,1241.95,1644446900.0,9870530858.0
2006-08-15,1243.16,1265.86,1265.86,1239.9,1431936000.0,8592504024.0
2006-08-16,1266.82,1283.57,1283.57,1262.54,2080274300.0,12267020733.0
2006-08-17,1280.28,1271.63,1280.28,1263.93,1545790400.0,8843865980.0
2006-08-18,1270.22,1267.87,1280.83,1265.82,1396452400.0,7951341069.0
2006-08-21,1235.43,1270.56,1270.67,1229.16,1506476600.0,8661631085.0
2006-08-22,1270.1,1285.27,1289.02,1269.1,1720094200.0,11224121514.0
2006-08-23,1284.82,1285.68,1294.83,1282.84,1909287500.0,12215591075.0
2006-08-24,1284.84,1292.4,1292.4,1274.56,1508130600.0,9416605611.0
2006-08-25,1293.5,1295.44,1301.75,1292.45,1855793700.0,11586280956.0
2006-08-28,1298.46,1325.89,1325.89,1298.36,2618329000.0,16640986510.0
2006-08-29,1328.61,1330.15,1349.2,1327.0,3176637600.0,20558598283.0
2006-08-30,1328.37,1334.67,1336.39,1319.82,2113994900.0,12994582488.0
2006-08-31,1335.59,1338.69,1342.79,1331.29,2318827400.0,13932000999.0
2006-09-01,1339.31,1318.1,1340.13,1314.57,2503368800.0,14832251927.0
2006-09-04,1315.71,1337.24,1337.24,1315.61,2109534000.0,12470373587.0
2006-09-05,1339.59,1340.68,1345.71,1334.72,2686811000.0,15959669593.0
2006-09-06,1341.4,1346.37,1346.37,1331.85,2315311200.0,13799604057.0
2006-09-07,1348.17,1328.38,1348.28,1323.98,2188644900.0,13054999552.0
2006-09-08,1327.56,1332.15,1334.73,1326.25,1723027300.0,10157793916.0
2006-09-11,1331.89,1338.76,1338.76,1319.21,2094726600.0,12839285596.0
2006-09-12,1338.82,1347.64,1350.53,1337.3,2730189100.0,15787258083.0
2006-09-13,1348.85,1338.39,1356.86,1337.46,3282119100.0,18701751194.0
2006-09-14,1338.35,1338.28,1345.59,1323.8,2221728400.0,13679517835.0
2006-09-15,1338.41,1362.32,1362.4,1338.14,3605714800.0,19594629097.0
2006-09-18,1367.64,1375.56,1375.58,1362.14,3145485100.0,18187622927.0
2006-09-19,1377.72,1378.31,1385.62,1371.43,2664830100.0,15942860310.0
2006-09-20,1376.12,1378.46,1381.81,1365.72,2344588000.0,14017239840.0
2006-09-21,1378.46,1387.37,1390.62,1378.46,2609412100.0,16026131513.0
2006-09-22,1389.87,1374.85,1393.53,1373.94,2826504200.0,18173169466.0
2006-09-25,1372.81,1372.4,1383.77,1361.61,2458478000.0,15493803707.0
2006-09-26,1370.86,1357.65,1371.58,1351.18,1970327800.0,11953758768.0
2006-09-27,1357.28,1371.12,1371.12,1355.39,1758032300.0,10897805770.0
2006-09-28,1372.13,1387.0,1389.56,1369.4,2168779200.0,14070853853.0
2006-09-29,1389.08,1403.27,1405.56,1389.04,2716674200.0,17347640073.0
2006-10-09,1420.36,1436.07,1436.07,1418.21,3919186200.0,23762250623.0
2006-10-10,1437.69,1437.24,1443.5,1426.97,3840048600.0,24024747915.0
2006-10-11,1436.68,1435.91,1440.21,1421.81,3161798700.0,18592012045.0
2006-10-12,1436.2,1426.5,1438.8,1423.63,3795623700.0,21048271007.0
2006-10-13,1424.3,1430.88,1436.1,1420.96,2829515600.0,16770803951.0
2006-10-16,1432.31,1418.52,1434.53,1415.49,2849218600.0,17341289788.0
2006-10-17,1416.95,1414.45,1426.29,1410.67,2422440300.0,15151115999.0
2006-10-18,1413.91,1437.59,1437.59,1413.55,2429030800.0,15015405334.0
2006-10-19,1438.84,1439.38,1445.62,1433.94,2382026700.0,14441180899.0
2006-10-20,1440.67,1440.18,1447.95,1436.65,2656014300.0,16526648077.0
2006-10-23,1439.54,1408.71,1444.91,1403.01,2895037700.0,17710776103.0
2006-10-24,1408.58,1440.05,1440.05,1408.58,2618997200.0,16151232545.0
2006-10-25,1443.11,1446.83,1459.73,1434.81,3220489500.0,21177150676.0
2006-10-26,1447.09,1456.1,1457.37,1435.28,3846636200.0,21300294417.0
2006-10-27,1455.98,1439.05,1460.45,1433.36,3737930400.0,21496189402.0
2006-10-30,1436.66,1446.24,1446.24,1428.33,3532045200.0,19874454982.0
2006-10-31,1447.06,1464.47,1464.48,1447.06,3695228300.0,21463617498.0
2006-11-01,1465.67,1479.41,1479.41,1461.32,3892692500.0,23518429064.0
2006-11-02,1480.55,1479.66,1480.55,1464.6,4237313600.0,24757963551.0
2006-11-03,1481.58,1488.29,1497.47,1480.77,3937202700.0,23319284127.0
2006-11-06,1477.44,1507.89,1507.97,1472.0,4203351000.0,25221678236.0
2006-11-07,1512.65,1516.1,1516.8,1491.33,4303832800.0,27894549966.0
2006-11-08,1512.36,1498.17,1513.04,1497.01,2872240500.0,19140307948.0
2006-11-09,1491.8,1524.71,1527.38,1489.2,3403013300.0,22283038119.0
2006-11-10,1525.23,1504.06,1535.2,1493.2,5392286700.0,31931185346.0
2006-11-13,1498.06,1475.78,1512.95,1465.63,4165330100.0,25176222093.0
2006-11-14,1475.44,1493.78,1493.88,1453.26,3630788500.0,22029308293.0
2006-11-15,1494.11,1534.76,1534.85,1490.87,4058921600.0,26135569100.0
2006-11-16,1540.26,1533.29,1558.41,1531.29,5776094800.0,34127308461.0
2006-11-17,1528.01,1562.08,1562.24,1521.55,4444619100.0,26950444425.0
2006-11-20,1567.34,1593.16,1593.19,1567.34,5341235900.0,32990614478.0
2006-11-21,1591.47,1612.25,1612.46,1568.95,4860184200.0,32628579472.0
2006-11-22,1610.05,1624.03,1639.41,1600.38,5706549500.0,38065264000.0
2006-11-23,1623.71,1634.91,1642.81,1618.04,5136067900.0,31474406048.0
2006-11-24,1629.89,1636.58,1640.75,1611.55,4971209600.0,32398044934.0
2006-11-27,1632.66,1651.8,1651.8,1627.92,4726727000.0,32057818416.0
2006-11-28,1649.68,1644.01,1656.19,1629.83,4476291600.0,29502974821.0
2006-11-29,1617.69,1667.14,1672.91,1604.82,4557841100.0,30895012009.0
2006-11-30,1671.66,1714.36,1714.49,1671.66,6021608800.0,39869047599.0
2006-12-01,1719.28,1729.22,1741.8,1715.79,5841358100.0,41045221076.0
2006-12-04,1731.9,1780.74,1780.8,1731.9,7143433300.0,46947580844.0
2006-12-05,1785.44,1794.23,1811.66,1777.43,6720257600.0,47255774605.0
2006-12-06,1794.26,1779.41,1806.64,1717.72,8127670000.0,53383291513.0
2006-12-07,1774.18,1775.71,1820.72,1770.57,8048750200.0,51388011540.0
2006-12-08,1752.77,1711.58,1772.16,1710.0,6625774600.0,41980241160.0
2006-12-11,1705.91,1789.92,1790.12,1705.91,5133597500.0,33169358578.0
2006-12-12,1798.46,1802.79,1819.8,1772.11,5783354300.0,38702468004.0
2006-12-13,1805.42,1803.86,1813.28,1779.56,4800445800.0,33154391167.0
2006-12-14,1807.08,1836.14,1836.19,1805.2,4720622700.0,33323930871.0
2006-12-15,1842.88,1867.64,1867.78,1832.51,4941444100.0,36957407983.0
2006-12-18,1875.01,1916.11,1918.29,1875.01,6189299000.0,46530167681.0
2006-12-19,1924.8,1921.44,1936.75,1882.54,6778893500.0,48969821687.0
2006-12-20,1912.9,1936.55,1936.8,1893.42,5634850200.0,39745359733.0
2006-12-21,1935.78,1908.98,1945.47,1905.72,6022516400.0,43437770784.0
2006-12-22,1896.48,1895.64,1918.49,1880.57,4623050100.0,34870781835.0
2006-12-25,1898.82,1939.1,1957.47,1898.82,5625174200.0,41951575108.0
2006-12-26,1941.8,1938.24,1959.98,1914.97,5696738300.0,39106900197.0
2006-12-27,1940.41,1982.88,1983.11,1939.55,5600564700.0,38961689252.0
2006-12-28,1988.02,1979.93,2010.37,1964.97,6319283400.0,45224328165.0
2006-12-29,1991.88,2041.05,2052.86,1991.88,7385194700.0,55716388327.0
2007-01-04,2073.25,2067.09,2139.49,2054.24,10671970700.0,82381072591.0
2007-01-05,2051.15,2072.88,2083.4,2030.76,9274344700.0,68026060235.0
2007-01-08,2072.01,2131.56,2131.74,2071.72,8476790900.0,66303936118.0
